PING 10.27.20.10 (10.27.20.10) 56(84) bytes of data.
64 bytes from 10.27.20.10: icmp_seq=82 ttl=58 time=3.17 ms
64 bytes from 10.27.20.10: icmp_seq=83 ttl=58 time=0.892 ms
64 bytes from 10.27.20.10: icmp_seq=84 ttl=58 time=1.55 ms
64 bytes from 10.27.20.10: icmp_seq=85 ttl=58 time=0.592 ms
64 bytes from 10.27.20.10: icmp_seq=86 ttl=58 time=1.11 ms
64 bytes from 10.27.20.10: icmp_seq=87 ttl=58 time=3.90 ms
64 bytes from 10.27.20.10: icmp_seq=88 ttl=58 time=1.12 ms
64 bytes from 10.27.20.10: icmp_seq=89 ttl=58 time=1.44 ms
64 bytes from 10.27.20.10: icmp_seq=90 ttl=58 time=0.706 ms
64 bytes from 10.27.20.10: icmp_seq=91 ttl=58 time=3.56 ms
64 bytes from 10.27.20.10: icmp_seq=92 ttl=58 time=3.46 ms
64 bytes from 10.27.20.10: icmp_seq=93 ttl=58 time=1.41 ms
64 bytes from 10.27.20.10: icmp_seq=94 ttl=58 time=1.22 ms
64 bytes from 10.27.20.10: icmp_seq=95 ttl=58 time=0.609 ms
64 bytes from 10.27.20.10: icmp_seq=96 ttl=58 time=3.42 ms
64 bytes from 10.27.20.10: icmp_seq=97 ttl=58 time=1.37 ms
64 bytes from 10.27.20.10: icmp_seq=98 ttl=58 time=3.30 ms
64 bytes from 10.27.20.10: icmp_seq=99 ttl=58 time=1.51 ms
64 bytes from 10.27.20.10: icmp_seq=100 ttl=58 time=0.704 ms
64 bytes from 10.27.20.10: icmp_seq=101 ttl=58 time=1.33 ms
64 bytes from 10.27.20.10: icmp_seq=102 ttl=58 time=1.20 ms
64 bytes from 10.27.20.10: icmp_seq=103 ttl=58 time=1.93 ms
64 bytes from 10.27.20.10: icmp_seq=104 ttl=58 time=1.19 ms
64 bytes from 10.27.20.10: icmp_seq=105 ttl=58 time=0.898 ms
64 bytes from 10.27.20.10: icmp_seq=106 ttl=58 time=1.72 ms
64 bytes from 10.27.20.10: icmp_seq=107 ttl=58 time=5.00 ms
64 bytes from 10.27.20.10: icmp_seq=108 ttl=58 time=2.52 ms
